number,value,params_lr,params_reconst_ld,params_tau,user_attrs_efctv_bit_rate
0,18.128555297851562,0.00018730555947519642,2.6971938832578815,3.3581252480205404,2.884718179702759
1,18.428842544555664,0.00016287061218739623,4.307184567912315,0.3590073249413624,3.0196454524993896
2,18.01350975036621,0.0008546099968841813,3.2854006229439214,0.13629471695062687,2.9903573989868164
3,17.209976196289062,0.0004650748613614521,2.3966568820684997,1.3785499160218626,3.0533816814422607
4,18.973888397216797,0.00010790084316791458,2.9590670356173665,7.024664010103628,3.0610439777374268
5,18.523801803588867,0.000703494758072296,4.092704999504478,0.1469954646512839,2.948528289794922
6,19.280576705932617,0.00012325559962878435,4.724694188616759,0.17463780498328987,2.7909390926361084
7,15.601341247558594,0.0003981007231420475,3.3598435902086443,0.6332434424398188,3.1378159523010254
8,19.49006462097168,0.00018862762940054584,3.621998911692839,3.7209004448169245,2.9788901805877686
9,16.49303436279297,0.0009663566417644597,4.667543124939466,8.517720757040085,3.3557779788970947
10,17.475873947143555,0.00021309354805232694,2.332224447967872,0.29600462777767905,3.0708374977111816
11,19.40595245361328,0.00015435455394547138,2.4869432734374217,0.47506245793533114,3.265143632888794
12,16.276931762695312,0.0006844904354125321,4.686522294945095,1.0762581808377718,3.2105464935302734
13,14.773859024047852,0.0007449939792288601,3.3301380752573944,4.95753130470055,3.7682018280029297
14,18.202781677246094,0.00010885668242642848,4.170643947970327,3.6824284274240697,3.204360246658325
15,17.95878791809082,0.00015586774808518816,2.575345981357226,4.4482698291578275,3.323836326599121
16,16.037073135375977,0.0006899269810134426,2.3354174908740446,1.980460869978876,3.447239875793457
17,18.52259635925293,0.00033155515918780175,2.246498057841249,0.6040567124679233,2.839167356491089
18,18.532114028930664,0.0004218987385834263,3.7133373980608613,0.8403610363344252,3.1985034942626953
19,18.474206924438477,0.0003444227225387853,2.0288141921973044,0.9802894219939725,2.856166362762451
20,19.294763565063477,0.0003954783200124338,2.0458669506430565,1.0342624560012066,2.79070782661438
21,17.018571853637695,0.00036255284627338376,3.5048257651180363,2.0145642525696785,3.5279958248138428
22,18.08387565612793,0.0003592345139699694,3.532178381018445,1.8098251672937367,2.994009256362915
23,17.476459503173828,0.00036409965120950754,3.5194195856339796,1.752450732037493,3.0998246669769287
24,17.441570281982422,0.0004340227811284344,3.418842544059598,1.8585636501911935,3.1286020278930664
25,17.36716651916504,0.0004436570903369177,3.3962558962425766,1.8478154420871296,3.1461164951324463
26,18.367204666137695,0.00046178129896144244,3.5318933372891292,1.888644088914488,3.1362240314483643
27,17.65985870361328,0.0005101498831330842,3.1575517656388,2.149804850412435,3.003382921218872
28,17.366127014160156,0.0005548867435992234,3.0714756879304757,2.069249691929258,3.459261417388916
29,18.514888763427734,0.00058367048256951,2.8905333712466224,2.067410435559819,3.4763636589050293
30,19.035097122192383,0.0005515600013812659,2.93243417532292,2.3455863188768706,3.1812551021575928
31,17.4788818359375,0.000549262155166333,2.924594499020056,5.671689842238048,3.2030766010284424
32,16.76314353942871,0.0005339287077427117,3.024906330680246,5.679054613992403,3.5924153327941895
33,17.156719207763672,0.0006009108105025399,2.9529468316609124,5.701293970677633,3.1647891998291016
34,21.550090789794922,0.0005933645258813945,2.9772859943733785,4.710740939504636,3.187701463699341
35,17.208965301513672,0.000583736835039162,2.8853643134386884,5.800118817301797,3.15154767036438
36,16.764480590820312,0.0005954517986144468,2.7890437899823763,4.758164905804954,3.201646327972412
37,17.86124038696289,0.00023851245282063407,2.705409581982792,5.191556858997973,3.0894689559936523
38,15.667651176452637,0.0007160660672275306,3.889170150388262,5.380483652547894,3.3855040073394775
39,15.379993438720703,0.0007055594255834816,3.9145428562846174,0.6864836676944476,3.3041598796844482
40,18.035663604736328,0.0006966529594919416,2.739351682478287,0.6915485412490391,2.895709991455078
41,18.037870407104492,0.0007273575357961576,3.91144798872679,0.665137292376373,3.0182228088378906
42,15.63405990600586,0.0007303633613872802,3.871005077139024,0.6787280593527695,3.1356401443481445
43,17.579687118530273,0.0007529441415269506,3.9216409483271772,0.6978935157219301,3.1691055297851562
44,15.267046928405762,0.0007332983945045628,3.8701866921194235,2.843412930713822,3.764493703842163
45,17.137256622314453,0.000731820440690486,3.811885359993455,0.602724728139008,3.0945374965667725
46,15.477927207946777,0.0007787687765641216,3.851148712921814,2.7996847463208625,3.309572696685791
47,16.241714477539062,0.0008556839657635528,3.965057283038919,0.259093951711139,3.043937921524048
48,14.821195602416992,0.0008508396034203666,3.917348477724326,2.919171647142128,3.345661163330078
49,15.830378532409668,0.0008467764157588783,3.826263509011052,2.8162651956979707,3.461874485015869
50,17.16681480407715,0.0008652094338162612,3.8524266312612827,0.3886209566830912,3.049705982208252
51,16.77327537536621,0.0009755285836828693,4.341959662968574,0.3521388544191145,3.0128846168518066
52,19.029949188232422,0.0009915969421926342,4.377364786408614,0.29332993470917584,2.9121246337890625
53,17.168577194213867,0.0009665624124558436,4.43115594293741,0.323386803393932,2.9680063724517822
54,15.937731742858887,0.0009373627450198499,4.404262206814781,0.4152464974328437,3.2796430587768555
55,15.442010879516602,0.0009791513320837508,4.416160335667802,2.886200309089011,3.4887208938598633
56,16.252166748046875,0.00027592971205684844,4.49794485743205,2.9965146072948348,3.2852296829223633
57,16.569927215576172,0.0008315813999166535,4.385834801978018,2.9166264308085506,3.1180508136749268
58,18.06364631652832,0.00027555744813189873,4.414904283717176,2.7669505245648476,2.983469247817993
59,17.53572654724121,0.00029835686643450607,4.319716789944879,1.3566730902104083,3.1913888454437256
60,17.513994216918945,0.0002705216155042963,4.18806051954122,8.726920554406588,3.0673305988311768
61,15.948904037475586,0.0002664253711365255,4.153099109672382,1.3567826387942172,3.219256639480591
62,16.049087524414062,0.0006503340047673223,3.2757933744083756,9.572218694698874,3.1625890731811523
63,18.044404983520508,0.0008068307897124803,4.9323968526443425,1.3651549532884069,2.881767988204956
64,16.04199981689453,0.0008011000111350086,4.174090334378136,8.438371707298888,3.2743070125579834
65,17.369667053222656,0.0006416675663296007,4.161760730527411,9.395311737224631,2.975271463394165
66,16.037378311157227,0.0007956783313662187,4.947217307131105,8.360290749094332,3.2352793216705322
67,16.904922485351562,0.0007741564023135339,4.880028096055362,9.676340730792033,3.2543270587921143
68,17.459348678588867,0.0006410934746570231,4.93696458419089,3.9841773156824885,3.164618492126465
69,17.131732940673828,0.0006449934126458864,4.864268159049845,3.8618378753153424,3.185668706893921
70,17.079296112060547,0.0007998372471490303,3.6774589778639726,3.674843779579031,3.0981955528259277
71,15.222208023071289,0.000653583648272011,3.6484926688367247,3.576097312404407,3.392390012741089
72,16.426437377929688,0.0006457137304742404,3.65352433395672,3.878157075161036,3.3018295764923096
73,16.706422805786133,0.0009011438782303201,3.6602917328702174,6.97674255394918,3.5235681533813477
74,15.334071159362793,0.0009083044068140442,3.7108936288188477,3.8564787558379305,3.411271810531616
75,16.99016761779785,0.0008936340935435763,3.707955618749611,2.452401482174987,3.0131349563598633
76,18.82089614868164,0.0009063516082407732,3.312404342192049,0.8715716984584047,2.888636589050293
77,18.48769187927246,0.0008752686058529887,3.7276627398017506,0.8438487697353492,3.350982427597046
78,17.82595443725586,0.0009116257943652397,4.030411525948567,0.8791954935914321,3.0962979793548584
79,14.85938549041748,0.0009282041342760169,3.2809993240050868,6.918687465256413,3.4795172214508057
80,16.1108341217041,0.0004946715650805369,4.0623438029169225,7.020927970058422,3.145298480987549
81,15.418207168579102,0.0009026124278988911,3.3166726945739065,2.544979442334612,3.320401668548584
82,16.482616424560547,0.0008988733924860206,3.3120796761880724,1.6383646379720038,3.419046640396118
83,14.461668014526367,0.0009029222451283201,3.981095784164054,3.1176996698375405,3.3795156478881836
84,15.105888366699219,0.0006887721657560297,3.992290968214954,1.6493731969587109,3.147676467895508
85,16.833837509155273,0.0004986877874973408,4.024278274712874,3.3085349206615016,3.256962776184082
86,18.873477935791016,0.00017549565401863231,3.200614231087579,3.3459948479346386,2.970918893814087
87,14.561430931091309,0.0007557398967389094,3.161220351165355,6.430117287524429,3.5363731384277344
88,16.97949981689453,0.0007598963484771959,3.4630944688064833,1.6151029315804404,3.244685649871826
89,18.252605438232422,0.0001838709224193173,3.217295419619041,3.24455351524623,3.154689073562622
90,18.369834899902344,0.00014017788338582446,3.1570864148038735,3.3000455860910924,3.465597152709961
91,15.273507118225098,0.0006950162647608243,3.1564765180923695,3.3081967379595385,3.4261410236358643
92,16.742279052734375,0.0006839592163516117,3.4308770009672727,3.2568538919263124,3.196080446243286
93,16.920310974121094,0.0006857182140276105,3.455030922837188,4.41628744188509,3.2513744831085205
94,19.999998092651367,0.00013467946790447633,3.447175746946999,4.524953073406846,3.023212194442749
95,17.105310440063477,0.0006667752166825415,3.4654218328615634,6.448920813183974,3.0378503799438477
96,,0.0006920450909693217,3.113467958675677,6.5547839842157805,
97,,0.0006701031585520361,3.1133447374301335,4.417639628880302,
98,,0.0006751585624004217,3.788549455870499,4.318471500742521,
99,,0.0006743986637673988,3.556843729485308,4.105851501798518,
100,,0.0006768141228035348,3.058204938342377,6.297644851912348,
101,,0.0008380745996391107,3.575700311938803,6.511041590445857,
102,,0.0008403275151599428,3.5674567150302856,5.0392047962676605,
103,,0.0008351293727606822,3.577752995921554,5.1305300326290535,
