mse,mspe,real_bit_rate,prior_bit_rate,softcodes_bit_rate,lr,tau,reconst_ld,train_sample_size,batch_size
0.010211229,1.0125195,tensor(0.),tensor(3.8584),tensor(3.9132),0.01,0.5,20,200000,10000
0.010130837,1.004548,tensor(0.),tensor(3.7862),tensor(3.8691),0.01,0.5,20,200000,10000
0.010023894,0.9939437,tensor(0.),tensor(3.8221),tensor(3.8220),0.01,0.5,20,200000,10000
0.0065613165,0.6506034,tensor(1.9321),tensor(5.4297),tensor(0.),0.01,0.5,100,200000,10000
0.004647904,0.4608743,tensor(3.2822),tensor(9.0832),tensor(0.2588),0.01,0.5,100,200000,10000
0.0058625536,0.5813159,tensor(3.0127),tensor(13.7903),tensor(1.6276),0.01,0.5,100,200000,10000
0.010156482,1.0070909,tensor(0.),tensor(1.3723e-05),tensor(0.),0.01,0.5,500,200000,10000
0.010537046,1.042196,tensor(0.),tensor(3.7056),tensor(3.7617),0.01,0.5,20,200000,10000
0.010213972,1.0102415,tensor(0.),tensor(3.7617),tensor(3.8197),0.01,0.5,20,200000,10000
0.010045431,0.9935714,tensor(0.),tensor(3.8232),tensor(3.7857),0.01,0.5,20,200000,10000
0.010925298,1.0805972,tensor(0.9223),tensor(3.9968),tensor(3.8129),0.01,0.5,100,200000,10000
0.010595106,1.0479386,tensor(0.9681),tensor(3.9013),tensor(3.5950),0.01,0.5,100,200000,10000
0.008617887,0.85237634,tensor(2.1449),tensor(8.2881),tensor(0.7984),0.01,0.5,100,200000,10000
0.0049657924,0.4911556,tensor(3.2704),tensor(9.4613),tensor(0.0004),0.01,0.5,500,200000,10000
0.010080927,0.99908656,tensor(0.),tensor(3.7940),tensor(3.8885),0.01,0.5,20,200000,10000
0.01034419,1.0251776,tensor(0.),tensor(3.7969),tensor(3.8733),0.01,0.5,20,200000,10000
0.01009991,1.0009679,tensor(0.),tensor(3.8739),tensor(3.8643),0.01,0.5,20,200000,10000
0.00598011,0.5926685,tensor(2.4740),tensor(13.7823),tensor(0.9353),0.01,0.5,100,200000,10000
0.006233816,0.61781245,tensor(2.5230),tensor(12.0539),tensor(0.3644),0.01,0.5,100,200000,10000
0.010107258,1.0015048,tensor(0.),tensor(3.8389),tensor(3.8278),0.01,0.5,20,200000,10000
0.010245185,1.0151716,tensor(0.),tensor(3.8822),tensor(3.9121),0.01,0.5,20,200000,10000
0.01105751,1.0956631,tensor(0.),tensor(3.7791),tensor(3.8357),0.01,0.5,20,200000,10000
0.0067073256,0.66461337,tensor(2.5030),tensor(14.7447),tensor(1.3096),0.01,0.5,100,200000,10000
0.010724055,1.0626217,tensor(0.),tensor(9.3409e-06),tensor(0.),0.01,0.5,100,200000,10000
0.004017822,0.3981167,tensor(3.4750),tensor(16.0347),tensor(0.0286),0.01,0.5,100,200000,10000
0.010066706,0.9974866,tensor(0.),tensor(1.2065e-05),tensor(0.),0.01,0.5,500,200000,10000
0.007123614,0.70586246,tensor(3.4845),tensor(25.1007),tensor(0.0006),0.01,0.5,500,200000,10000
0.0050016674,0.49560362,tensor(3.1184),tensor(18.6324),tensor(0.0017),0.01,0.5,500,200000,10000
0.010142732,1.0050199,tensor(0.),tensor(3.7580),tensor(3.8206),0.01,1,20,200000,10000
0.010605176,1.0508424,tensor(0.),tensor(3.8357),tensor(3.8981),0.01,1,20,200000,10000
0.010200106,1.0107049,tensor(0.),tensor(3.8956),tensor(3.8981),0.01,1,20,200000,10000
0.0059190304,0.586503,tensor(2.5064),tensor(12.0157),tensor(1.4421),0.01,1,100,200000,10000
0.0054130186,0.5363635,tensor(2.8012),tensor(9.4179),tensor(1.1244),0.01,1,100,200000,10000
0.0070873667,0.70227075,tensor(2.9265),tensor(11.9642),tensor(1.3930),0.01,1,100,200000,10000
0.004520561,0.44793195,tensor(3.2814),tensor(13.0897),tensor(0.0007),0.01,1,500,200000,10000
0.0057642167,0.5711629,tensor(2.9719),tensor(18.8160),tensor(0.0077),0.01,1,500,200000,10000
0.004663812,0.46212637,tensor(3.5152),tensor(31.3391),tensor(0.0068),0.01,1,500,200000,10000
0.010205763,1.0112654,tensor(0.),tensor(3.8798),tensor(3.9133),0.01,2,20,200000,10000
0.010188401,1.0095451,tensor(0.),tensor(3.9010),tensor(3.8850),0.01,2,20,200000,10000
0.010101595,1.0009437,tensor(0.),tensor(3.8422),tensor(3.8870),0.01,2,20,200000,10000
0.006081441,0.6025959,tensor(2.6268),tensor(12.2072),tensor(0.1010),0.01,2,100,200000,10000
0.005269684,0.5221608,tensor(3.1123),tensor(12.2394),tensor(1.7505),0.01,2,100,200000,10000
0.0052704006,0.52223176,tensor(2.0541),tensor(8.0885),tensor(1.5371),0.01,2,100,200000,10000
0.003474226,0.344253,tensor(3.7078),tensor(22.7178),tensor(0.0022),0.01,2,500,200000,10000
0.0031217125,0.30932325,tensor(3.8052),tensor(21.3526),tensor(0.0118),0.01,2,500,200000,10000
0.002976415,0.29492608,tensor(3.7186),tensor(13.8671),tensor(0.0019),0.01,2,500,200000,10000
0.010646552,1.0549423,tensor(0.),tensor(3.7041),tensor(3.8157),0.01,5,20,200000,10000
0.01022351,1.013024,tensor(0.),tensor(3.7783),tensor(3.8515),0.01,5,20,200000,10000
0.010346943,1.0252546,tensor(0.),tensor(3.6882),tensor(3.7232),0.01,5,20,200000,10000
0.005364519,0.5315578,tensor(2.1141),tensor(9.3296),tensor(1.3465),0.01,5,100,200000,10000
0.0031653547,0.3136477,tensor(3.7784),tensor(11.1026),tensor(0.1643),0.01,5,100,200000,10000
0.0042513283,0.42125428,tensor(3.8192),tensor(5.0191),tensor(1.1360),0.01,5,100,200000,10000
0.002574168,0.25506833,tensor(3.8878),tensor(17.0930),tensor(0.0122),0.01,5,500,200000,10000
0.004104417,0.40669715,tensor(3.9171),tensor(27.5002),tensor(0.0028),0.01,5,500,200000,10000
0.0036678447,0.36343825,tensor(3.9620),tensor(19.5064),tensor(0.0015),0.01,5,500,200000,10000
0.010020645,0.9929226,tensor(0.5850),tensor(3.8477),tensor(3.8653),0.001,0.5,20,200000,10000
0.0099844495,0.98933595,tensor(1.5174),tensor(4.0266),tensor(2.5501),0.001,0.5,20,200000,10000
0.0100843925,0.9992391,tensor(1.7734),tensor(3.8809),tensor(3.8529),0.001,0.5,20,200000,10000
0.0036474138,0.36141378,tensor(3.6457),tensor(12.6463),tensor(0.4769),0.001,0.5,100,200000,10000
0.0039921687,0.39557475,tensor(3.4898),tensor(16.0997),tensor(0.0078),0.001,0.5,100,200000,10000
0.006681518,0.66205615,tensor(3.1911),tensor(9.9973),tensor(0.2033),0.001,0.5,100,200000,10000
0.0045906724,0.45487913,tensor(3.2102),tensor(13.7751),tensor(9.0922e-06),0.001,0.5,500,200000,10000
0.006402949,0.6344534,tensor(2.6374),tensor(21.3698),tensor(0.),0.001,0.5,500,200000,10000
0.0064183334,0.6359778,tensor(2.6788),tensor(23.2514),tensor(0.),0.001,0.5,500,200000,10000
0.009991802,0.99006456,tensor(0.),tensor(3.7097),tensor(3.3563),0.001,1,20,200000,10000
0.00997054,0.9879578,tensor(0.8309),tensor(3.7271),tensor(3.7586),0.001,1,20,200000,10000
0.009981788,0.9890723,tensor(1.6700),tensor(3.9429),tensor(3.3268),0.001,1,20,200000,10000
0.004740693,0.4697443,tensor(3.5521),tensor(13.4726),tensor(0.8101),0.001,1,100,200000,10000
0.003724398,0.369042,tensor(3.7529),tensor(18.0076),tensor(0.0060),0.001,1,100,200000,10000
0.0034830326,0.34512565,tensor(3.6679),tensor(13.0424),tensor(0.0271),0.001,1,100,200000,10000
0.0040586023,0.40215752,tensor(3.4147),tensor(18.8142),tensor(0.0010),0.001,1,500,200000,10000
0.005191505,0.5144142,tensor(3.1020),tensor(13.7575),tensor(5.6846e-05),0.001,1,500,200000,10000
0.0053915665,0.53423786,tensor(3.1684),tensor(15.8104),tensor(0.0112),0.001,1,500,200000,10000
0.010166274,1.0073526,tensor(0.9964),tensor(3.8983),tensor(3.6689),0.001,2,20,200000,10000
0.01008998,0.9997929,tensor(0.0007),tensor(3.8970),tensor(3.8009),0.001,2,20,200000,10000
0.010024462,0.9933007,tensor(0.),tensor(3.8083),tensor(3.8544),0.001,2,20,200000,10000
0.0038173867,0.37825602,tensor(3.6868),tensor(11.2930),tensor(0.0808),0.001,2,100,200000,10000
0.004955275,0.49100673,tensor(3.3527),tensor(16.5023),tensor(0.2616),0.001,2,100,200000,10000
0.0034573802,0.3425838,tensor(3.7007),tensor(10.9259),tensor(0.0702),0.001,2,100,200000,10000
0.0032603955,0.32306504,tensor(3.6199),tensor(18.3641),tensor(0.0088),0.001,2,500,200000,10000
0.0038308664,0.3795917,tensor(3.6238),tensor(17.7539),tensor(0.0282),0.001,2,500,200000,10000
0.004534872,0.44934997,tensor(3.5386),tensor(24.7325),tensor(0.0040),0.001,2,500,200000,10000
0.009969582,0.9878628,tensor(1.4717),tensor(3.9634),tensor(3.2072),0.001,5,20,200000,10000
0.009994445,0.9903265,tensor(0.0092),tensor(3.8840),tensor(3.8525),0.001,5,20,200000,10000
0.010001979,0.99107295,tensor(0.4082),tensor(3.8949),tensor(3.8883),0.001,5,20,200000,10000
0.0032034712,0.31742457,tensor(3.5213),tensor(7.1599),tensor(0.1497),0.001,5,100,200000,10000
0.0033126562,0.32824343,tensor(3.5452),tensor(10.8485),tensor(0.6510),0.001,5,100,200000,10000
0.0037887297,0.37541646,tensor(3.5754),tensor(12.7919),tensor(0.0631),0.001,5,100,200000,10000
0.0034747939,0.34430927,tensor(3.7151),tensor(18.1424),tensor(0.0002),0.001,5,500,200000,10000
0.00345172,0.34202296,tensor(3.6485),tensor(13.9980),tensor(0.0958),0.001,5,500,200000,10000
0.0033380855,0.33076316,tensor(3.7151),tensor(20.5404),tensor(0.1528),0.001,5,500,200000,10000
0.009860667,0.97707075,tensor(2.7170),tensor(3.9486),tensor(1.2482),0.0001,0.5,20,200000,10000
0.009925386,0.98348355,tensor(2.0890),tensor(4.0859),tensor(1.5362),0.0001,0.5,20,200000,10000
0.009838236,0.97484803,tensor(1.9346),tensor(4.0456),tensor(1.4114),0.0001,0.5,20,200000,10000
0.0095231775,0.9436296,tensor(2.6097),tensor(9.2436),tensor(0.8360),0.0001,0.5,100,200000,10000
0.0094809085,0.93944126,tensor(2.5893),tensor(7.5093),tensor(0.2174),0.0001,0.5,100,200000,10000
0.009479043,0.9392564,tensor(2.3069),tensor(4.0192),tensor(1.1211),0.0001,0.5,100,200000,10000
0.008858401,0.8777585,tensor(1.5571),tensor(10.9703),tensor(0.0063),0.0001,0.5,500,200000,10000
0.008383469,0.8306985,tensor(1.8326),tensor(10.5342),tensor(0.0123),0.0001,0.5,500,200000,10000
0.009985499,0.98943996,tensor(0.),tensor(0.0002),tensor(0.),0.0001,0.5,500,200000,10000
0.010018369,0.992697,tensor(1.6518),tensor(3.9171),tensor(2.8402),0.0001,1,20,200000,10000
0.009989442,0.9898308,tensor(1.0101),tensor(3.7989),tensor(1.7392),0.0001,1,20,200000,10000
0.009962833,0.987194,tensor(1.9038),tensor(3.6950),tensor(2.0244),0.0001,1,20,200000,10000
0.009755387,0.9666387,tensor(1.4843),tensor(2.9639),tensor(2.6619),0.0001,1,100,200000,10000
0.00986558,0.97755754,tensor(2.5533),tensor(3.9546),tensor(1.0898),0.0001,1,100,200000,10000
0.009571379,0.9484058,tensor(2.5935),tensor(6.4098),tensor(0.4758),0.0001,1,100,200000,10000
0.008152947,0.8078567,tensor(2.0709),tensor(9.4145),tensor(0.0923),0.0001,1,500,200000,10000
0.007819804,0.7748463,tensor(2.1770),tensor(15.1447),tensor(4.1182e-05),0.0001,1,500,200000,10000
0.00789485,0.7822825,tensor(2.0980),tensor(15.9750),tensor(0.0592),0.0001,1,500,200000,10000
0.009948414,0.9857653,tensor(1.4488),tensor(3.7805),tensor(3.4735),0.0001,2,20,200000,10000
0.009995206,0.99040186,tensor(1.4228),tensor(3.9825),tensor(2.1499),0.0001,2,20,200000,10000
0.010034802,0.99432534,tensor(1.4849),tensor(3.9248),tensor(0.7428),0.0001,2,20,200000,10000
0.009676848,0.95885646,tensor(2.8505),tensor(4.5077),tensor(1.1580),0.0001,2,100,200000,10000
0.009005201,0.89230454,tensor(2.7740),tensor(6.1910),tensor(1.0776),0.0001,2,100,200000,10000
0.009784478,0.9695212,tensor(2.6939),tensor(4.4542),tensor(0.3224),0.0001,2,100,200000,10000
0.0074015837,0.7334058,tensor(2.8012),tensor(15.1812),tensor(0.0257),0.0001,2,500,200000,10000
0.006804246,0.674217,tensor(2.7215),tensor(16.8791),tensor(0.0172),0.0001,2,500,200000,10000
0.008366556,0.82902265,tensor(1.8730),tensor(15.4118),tensor(0.0054),0.0001,2,500,200000,10000
0.0098844655,0.9794288,tensor(1.5686),tensor(3.9060),tensor(3.5305),0.0001,5,20,200000,10000
0.010019878,0.9928465,tensor(1.9119),tensor(3.9141),tensor(3.0327),0.0001,5,20,200000,10000
0.0100088585,0.9917546,tensor(2.2287),tensor(3.9849),tensor(2.2727),0.0001,5,20,200000,10000
0.009145422,0.9061987,tensor(2.8430),tensor(6.5808),tensor(1.6324),0.0001,5,100,200000,10000
0.009174892,0.90911883,tensor(2.9185),tensor(3.8318),tensor(0.4290),0.0001,5,100,200000,10000
0.009397282,0.93115497,tensor(2.5650),tensor(5.9572),tensor(1.5817),0.0001,5,100,200000,10000
0.006619014,0.6558628,tensor(2.9547),tensor(10.5275),tensor(0.0066),0.0001,5,500,200000,10000
0.0073943324,0.7326873,tensor(2.5121),tensor(5.0196),tensor(0.1734),0.0001,5,500,200000,10000
0.0076978947,0.7627666,tensor(2.2521),tensor(8.8402),tensor(0.1294),0.0001,5,500,200000,10000
0.0032967506,0.3265126,tensor(3.6939),tensor(13.0037),tensor(1.2634e-05),0.005,4,400,200000,1000
0.0037180553,0.3682856,tensor(3.6355),tensor(14.7491),tensor(0.0428),0.005,4,400,200000,1000
0.004627267,0.45834598,tensor(3.7035),tensor(14.9909),tensor(0.0480),0.005,4,400,200000,1000
0.0035943633,0.3560335,tensor(3.8192),tensor(15.4719),tensor(0.0144),0.005,4,400,200000,1000
0.002650509,0.26254162,tensor(3.8329),tensor(11.4717),tensor(0.0265),0.005,4,400,200000,10000
0.0029052892,0.28777844,tensor(3.9051),tensor(24.1201),tensor(0.0022),0.005,4,400,200000,10000
0.003189397,0.31592026,tensor(3.8076),tensor(22.0021),tensor(0.0006),0.005,4,400,200000,10000
0.0042666495,0.42262566,tensor(3.5487),tensor(21.8240),tensor(0.0303),0.005,4,400,200000,50000
0.004746394,0.47014594,tensor(3.6177),tensor(13.9446),tensor(0.0348),0.005,4,400,200000,50000
0.004571215,0.45279387,tensor(3.6926),tensor(14.5382),tensor(0.0560),0.005,4,400,200000,50000
0.00516908,0.5118413,tensor(3.3603),tensor(7.9421),tensor(0.5002),0.005,4,100,200000,10000
0.0043712934,0.4328446,tensor(3.1060),tensor(6.1911),tensor(0.9015),0.005,4,100,200000,10000
0.005157738,0.5107182,tensor(2.7250),tensor(9.3736),tensor(1.3646),0.005,4,100,200000,10000
0.0027052127,0.26786962,tensor(3.8537),tensor(17.1494),tensor(0.0355),0.005,4,400,200000,10000
0.0027124733,0.26858857,tensor(3.7686),tensor(11.3865),tensor(0.0007),0.005,4,400,200000,10000
0.004034383,0.39948383,tensor(3.8847),tensor(14.4019),tensor(0.0005),0.005,4,400,200000,10000
0.0032525447,0.3220663,tensor(3.8160),tensor(15.2837),tensor(0.0715),0.005,4,1000,200000,10000
0.003995607,0.39564422,tensor(3.4805),tensor(10.9521),tensor(0.0001),0.005,4,1000,200000,10000
0.0044411817,0.43976492,tensor(3.8700),tensor(24.4688),tensor(0.0014),0.005,4,1000,200000,10000
